epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.35,2.07815,11.3527,2.36742,0.0837,0.25,0.10273,0.04269,2.53541,10.758,3.65194,0.00058,0.00058,0.00058
2,516.268,2.53549,4.00208,2.71774,0,0,0,0,4.81019,7.93296,6.58519,0.00106318,0.00106318,0.00106318
3,778.613,2.73537,3.4751,2.9043,0.07143,0.25,0.09391,0.04409,3.51293,55.5658,57.9234,0.00142756,0.00142756,0.00142756
4,1043.42,2.69608,3.47599,2.9528,0.00631,0.5,0.00577,0.00143,3.20919,11.3636,24.5484,0.001406,0.001406,0.001406
5,1296.8,2.65792,3.37606,2.96356,0.10796,0.25,0.24621,0.16022,1.2794,23.7633,2.04778,0.001208,0.001208,0.001208
6,1573.11,2.53228,3.347,2.85658,0.24229,0.25,0.08252,0.04797,3.00304,3.67261,14.5469,0.00101,0.00101,0.00101
7,1832.99,2.5586,3.25132,2.77611,0.09153,1,0.0995,0.02517,2.31153,4.18998,3.00869,0.000812,0.000812,0.000812
8,2066.4,2.47869,3.12311,2.6788,0.11271,0.5,0.28862,0.09571,2.37965,16.314,5.20726,0.000614,0.000614,0.000614
9,2290.8,2.3983,3.09653,2.55987,0.12859,0.75,0.16919,0.02958,2.62112,3.09259,2.67463,0.000416,0.000416,0.000416
10,2523.76,2.30239,3.00127,2.50443,0.25086,0.25,0.43207,0.1645,2.05162,2.93117,2.44201,0.000218,0.000218,0.000218
